4/4/2020,EUN,GHOST,2-0
4/4/2020,PK,R,0-2
4/5/2020,SNG,OBY,2-0
4/5/2020,SSG,RNG,2-0
4/10/2020,EUN,R,0-2
4/10/2020,RNG,GHOST,0-2
4/11/2020,SSG,SNG,0-2
4/11/2020,PK,OBY,2-0
4/12/2020,EUN,RNG,0-2
4/12/2020,OBY,R,0-2
4/17/2020,PK,SSG,1-2
4/17/2020,SNG,GHOST,0-2
4/18/2020,EUN,OBY,2-0
4/18/2020,SNG,RNG,2-1
4/19/2020,PK,GHOST,1-2
4/19/2020,SSG,R,0-2
4/24/2020,EUN,SNG,1-2
4/24/2020,SSG,OBY,2-0
4/25/2020,R,GHOST,0-2
4/25/2020,PK,RNG,2-0
4/26/2020,EUN,SSG,2-0
4/26/2020,PK,SNG,0-2
5/1/2020,RNG,R,2-1
5/1/2020,OBY,GHOST,0-2
5/2/2020,EUN,PK,0-2
5/2/2020,SSG,GHOST,2-1
5/3/2020,OBY,RNG,0-2
5/3/2020,SNG,R,1-2
5/8/2020,EUN,GHOST,1-2
5/8/2020,PK,R,2-1
5/9/2020,SNG,OBY,1-2
5/9/2020,SSG,RNG,2-0
5/10/2020,EUN,R,2-0
5/10/2020,RNG,GHOST,1-2
5/15/2020,SSG,SNG,2-1
5/15/2020,PK,OBY,2-1
5/16/2020,EUN,RNG,0-2
5/16/2020,OBY,R,1-2
5/17/2020,PK,SSG,1-2
5/17/2020,SNG,GHOST,2-1
5/22/2020,EUN,OBY,0-2
5/22/2020,SNG,RNG,2-0
5/23/2020,PK,GHOST,2-1
5/23/2020,SSG,R,2-1
5/24/2020,EUN,SNG,0-2
5/24/2020,SSG,OBY,2-0
5/29/2020,R,GHOST,1-2
5/29/2020,PK,RNG,2-0
5/30/2020,EUN,SSG,2-0
5/30/2020,PK,SNG,0-2
5/31/2020,RNG,R,1-2
5/31/2020,OBY,GHOST,0-2
6/6/2020,EUN,PK,0-2
6/6/2020,SSG,GHOST,2-1
6/7/2020,OBY,RNG,0-2
6/7/2020,SNG,R,2-1
6/12/2020,PK,R,1-3
6/12/2020,GHOST,RNG,3-0
6/13/2020,SNG,R,1-3
6/13/2020,SSG,GHOST,0-3
6/14/2020,R,GHOST